source,category,title,url,picture
BBC,business,"The ex-Google exec who wants to simplify your lifeMarissa Mayer, a former Google and Yahoo executive, believes AI should simplify our lives.See more",https://www.bbc.com/worklife/article/20250313-the-ex-google-exec-who-wants-to-simplify-your-life,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,OpenAI says non-profit will remain in control after backlashThe move follows a bitter power struggle over the business.15 hrs agoBusiness,https://www.bbc.com/news/articles/cwy603eg0w8o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,Trump film tariffs to be part of UK-US trade talksIt comes as moviemakers worry the UK's thriving film industry could be hit by the new tariff threat.20 hrs agoCulture,https://www.bbc.com/news/articles/cz01kx3yrmvo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,"What impact might Trump's Hollywood tariffs plan have?As Trump turns his attention to what he calls the ""dying"" US film industry, his solution has provoked strong reactions.21 hrs agoCulture",https://www.bbc.com/news/articles/cwy04kjwk09o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,Elon Musk's Starbase in Texas will officially become a cityResidents approved incorporating a patch of land as the new municipality in an election on Saturday.2 days agoUS & Canada,https://www.bbc.com/news/articles/c39j8rj4nmmo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,"How Carney's election win will change direction of trade warIn his exclusive BBC interview, the Canadian Prime Minister indicates how he plans to tackle Trump.3 days agoWorld",https://www.bbc.com/news/articles/cgjlqwxevd0o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,London's 'spiralling' housing crisis in numbersResearch sets out the challenges and solutions to tackle the growing housing need in the capital.2 days agoLondon,https://www.bbc.com/news/articles/cgkg54nd5d5o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,Playing with FIRE: How to quit work and retire in your 30sA personal finance strategy popular among millennials is helping them to quit their job and retire decades early.23 Apr 2024Future of business,https://www.bbc.com/reel/video/p09qwdp6/playing-with-fire-how-to-quit-work-and-retire-in-your-30s,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,"Boomerang CEOs: Do they ever succeed?Five years after being ousted from WeWork, Adam Neumann wants to re-buy the now-bankrupt business.8 Feb 2024Future of business",https://www.bbc.com/reel/video/p0h9q7kj/boomerang-ceos-do-they-ever-succeed-,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,How industry leaders transformed their careerThe BBC's Katty Kay has spoken to successful change-makers to ask what made them pivot in their career.17 Jan 2024Work Culture,https://www.bbc.com/reel/video/p0h4hbs4/how-industry-leaders-transformed-their-career,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,"Women were the original beer brewers - what changed?Today, the beer industry is male-dominated, but it wasn't always so.7 Dec 2023Work Culture",https://www.bbc.com/reel/video/p0gwgmz8/women-were-the-original-beer-brewers-what-changed-,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,How waiting alters our perception of timeExpert advice on how to get through a waiting period.14 Nov 2023Work Culture,https://www.bbc.com/reel/video/p09cdyyd/how-waiting-alters-our-perception-of-time,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,Do the super-rich 'deserve' their wealth?Should there be a cap on billionaires' wealth and their inheritances?14 Nov 2023Future of business,https://www.bbc.com/reel/video/p0fv01m1/do-the-super-rich-deserve-their-wealth-,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,"Four simple hacks to succeed in every conversationA career coach, a choreographer, a chef and a dragon boat captain offer advice on giving critical feedback.14 Nov 2023Work Culture",https://www.bbc.com/reel/video/p098mgm9/four-simple-hacks-to-succeed-in-every-conversation,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,Solo and hybrid work: Navigating our future and new normalCovid-19 reshaped the way we live and work. We rethink solo working and explore the future of work-life.14 Nov 2023Future of business,https://www.bbc.com/reel/video/p09p4p1r/solo-and-hybrid-work-navigating-our-future-and-new-normal,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,"Can supersonic flight ever be sustainable?How a new era of quiet, net zero supersonic airliners could revolutionise the aviation industry.14 Nov 2023Future of business",https://www.bbc.com/reel/video/p0c5mvlh/can-supersonic-flight-ever-be-sustainable-,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,Commencement speech: The surprising pitfall of your passionsStudents are graduating in the US this week. The commencement speeches might lead them into questionable choices.14 Nov 2023Future of business,https://www.bbc.com/reel/video/p0fq5w2r/commencement-speech-the-surprising-pitfall-of-your-passions,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,A desk full of descriptions for your work colleaguesThese are the long lost words you've been waiting for to describe your colleagues.14 Nov 2023Work Culture,https://www.bbc.com/reel/video/p0d20p52/a-desk-full-of-descriptions-for-your-work-colleagues,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,Veterinarian suicide rates are very high. Why?Veterinarian professionals are committing suicide at a higher rate than the general population.14 Nov 2023Work Culture,https://www.bbc.com/reel/video/p0gkmzb8/veterinarian-suicide-rates-are-very-high-why-,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,ASMR: How whispering took over the internetWe meet the creators behind the current ASMR boom.4 Jan 2023Work Culture,https://www.bbc.com/reel/video/p0d95c27/asmr-how-whispering-took-over-the-internet,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,"3 days agoWarren Buffett, 94, stepping down as Berkshire Hathaway CEOThe veteran investor told his company's annual meeting that he would hand over the reins to Vice-Chairman Greg Abel.3 days agoBusiness",https://www.bbc.com/news/articles/cqj4nev7p70o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,3 days agoUber starts allowing customers to pay in cashTaxi app giant Uber said trials showed some people preferred paying in cash or did not have a bank card.3 days agoBusiness,https://www.bbc.com/news/articles/c4g4le9n469o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,4 days agoWall Street stocks bounce back from Trump tariff lossesInvestors were buoyed by a better-than-expected jobs report and rising hope of US-China trade talks.4 days agoUS & Canada,https://www.bbc.com/news/articles/cj0z65dq771o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,"3 days agoTariffs on car parts entering the US come into forceImport taxes were eased after carmaker outcry,  but it's ""still a big tariff"", analysts say.3 days agoBusiness",https://www.bbc.com/news/articles/c4grdke5r1jo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,"4 days agoUS court rules ex-Abercrombie CEO unfit for trialMike Jeffries is ""mentally incompetent"" and will spend time in hospital to see if his condition improves, a judge rules.4 days agoUS & Canada",https://www.bbc.com/news/articles/cp31nknxgwlo,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,"4 days agoUS jobs grow by more than expected despite tariff turmoilEmployers added 177,000 roles in April as the jobs market continues to prove resilient.4 days agoBusiness",https://www.bbc.com/news/articles/c4grd0wqy22o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
BBC,business,"4 days agoTemu to stop selling goods from China directly to US customersThe online marketplace says it will move to a ""local fulfillment model"" in the US, with sales handled by locally based sellers.4 days ago",https://www.bbc.com/news/articles/cwy79j2n7d4o,https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/grey-placeholder.png
